date,Infla_Diaria,Factor_Actualizacion,DOLAR CCL,usd_real,usd_real_avg
2016-01-12,1.0012970271754824,54.54784709262356,14.19,774.0339273551408,953.6964713986799
2016-01-13,1.0012970271754824,54.47718869843781,13.97,761.046340664155,953.6964713986799
2016-01-14,1.0012970271754824,54.40662183139629,13.83,752.4435757773149,953.6964713986799
2016-01-15,1.0012970271754824,54.3361463729396,13.71,744.9485688457614,953.6964713986799
2016-01-19,1.0012970271754824,54.05515625914366,13.78,744.8800388167157,953.6964713986799
2016-01-20,1.0012970271754824,53.98513607058799,13.09,706.6654394014748,953.6964713986799
2016-01-21,1.0012970271754824,53.91520658247877,13.86,747.2647447228385,953.6964713986799
2016-01-22,1.0012970271754824,53.84536767732743,13.74,739.8353395622523,953.6964713986799
2016-01-25,1.0012970271754824,53.636393287016816,14.14,758.418619493012,953.6964713986799
2016-01-26,1.0012970271754824,53.56691554185226,14.02,751.0081804177566,953.6964713986799
2016-01-27,1.0012970271754824,53.49752779448169,14.0,748.9653891227437,953.6964713986799
2016-01-28,1.0012970271754824,53.42822992832673,14.0,747.9952189965742,953.6964713986799
2016-01-29,1.0012970271754824,53.35902182696,13.98,745.9591007150791,953.6964713986799
2016-02-01,1.0009191093964245,53.151934949576585,14.24,756.8835415164581,953.6964713986799
2016-02-02,1.0009191093964245,53.10312736623475,14.04,745.5679061962123,953.6964713986799
2016-02-03,1.0009191093964245,53.05436460120845,14.33,760.2690406875903,953.6964713986799
2016-02-04,1.0009191093964245,53.00564661334257,14.41,763.8113596102467,953.6964713986799
2016-02-05,1.0009191093964245,52.95697336151979,14.51,768.4056955965415,953.6964713986799
2016-02-10,1.0009191093964245,52.714276706587405,14.63,771.209874250044,953.6964713986799
2016-02-11,1.0009191093964245,52.665871009671534,14.85,782.0882045840577,953.6964713986799
2016-02-12,1.0009191093964245,52.6175097620328,14.95,786.6317609063968,953.6964713986799
2016-02-16,1.0009191093964245,52.42450844848642,15.18,795.8040542467141,953.6964713986799
2016-02-17,1.0009191093964245,52.3763688357389,15.35,803.9772816085913,953.6964713986799
2016-02-18,1.0009191093964245,52.32827342793262,15.36,803.7622618875581,953.6964713986799
2016-02-19,1.0009191093964245,52.28022218447571,15.28,798.8417810184634,953.6964713986799
2016-02-22,1.0009191093964245,52.13633303484143,15.02,783.0877460494374,953.6964713986799
2016-02-23,1.0009191093964245,52.08845804360829,15.32,797.9951613319431,953.6964713986799
2016-02-24,1.0009191093964245,52.0406270143236,15.52,807.6705550846108,953.6964713986799
2016-02-25,1.0009191093964245,51.99283990661863,15.54,807.968730165484,953.6964713986799
2016-02-26,1.0009191093964245,51.94509668016171,15.45,802.5517338007576,953.6964713986799
2016-02-29,1.0009191093964245,51.80212988551793,15.57,806.5591465087587,953.6964713986799
2016-03-01,1.0009539644846686,51.75456178147674,15.09,780.9763451796034,953.6964713986799
2016-03-02,1.0009539644846686,51.70523682187729,16.03,828.8349817578616,953.6964713986799
2016-03-03,1.0009539644846686,51.6559588716922,15.76,814.0979236409797,953.6964713986799
2016-03-04,1.0009539644846686,51.60672788611889,15.49,799.388203144139,953.6964713986799
2016-03-07,1.0009539644846686,51.45931626968417,15.46,795.5610314923345,953.6964713986799
2016-03-08,1.0009539644846686,51.41027269538565,15.48,795.8309977908146,953.6964713986799
2016-03-09,1.0009539644846686,51.361275862325726,15.41,791.4772532013307,953.6964713986799
2016-03-10,1.0009539644846686,51.31232572595742,15.35,787.6442194675453,953.6964713986799
2016-03-11,1.0009539644846686,51.2634222417762,15.34,786.3809050110243,953.6964713986799
2016-03-14,1.0009539644846686,51.116991257945735,14.95,764.1990095564964,953.6964713986799
